ID,Age,Education,Marital_Status,Income,Dependents,Dt_Customer,Recency,RecencyScore,Frequency,FrequencyScore,Monetary,MonetaryScore,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,Web,Catalog,Store,NumWebVisitsMonth,Complain,1st Campaign,2nd Campaign,3rd Campaign,4th Campaign,5th Campaign,6th Campaign,Segment
5524,57,Bachelor,Single,58138.0,0,2012-09-04,58,2.0,25,4.0,1617,5.0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,Can't Lose
2174,60,Bachelor,Single,46344.0,2,2014-03-08,38,3.0,6,1.0,27,0.0,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,Promising
4141,49,Bachelor,Together,71613.0,0,2013-08-21,26,4.0,21,4.0,776,3.0,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,Need Attention
6182,30,Bachelor,Together,26646.0,1,2014-02-10,26,4.0,8,1.0,53,1.0,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,Promising
5324,33,Doctoral,Married,58293.0,1,2014-01-19,94,0.0,19,3.0,422,3.0,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,At Risk
7446,47,Master,Together,62513.0,1,2013-09-09,16,4.0,22,4.0,716,3.0,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,Need Attention
965,43,Bachelor,Divorced,55635.0,1,2012-11-13,34,3.0,21,4.0,590,3.0,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,Need Attention
6177,29,Doctoral,Married,33454.0,1,2013-05-08,32,3.0,10,2.0,169,2.0,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,Promising
4855,40,Doctoral,Together,30351.0,1,2013-06-06,19,4.0,6,1.0,46,1.0,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,Promising
5899,64,Doctoral,Together,5648.0,2,2014-03-13,68,2.0,2,0.0,49,1.0,28,0,6,1,1,13,1,1,0,0,20,0,0,0,1,0,0,0,Hibernating
1994,31,Bachelor,Married,46441.5,1,2013-11-15,11,4.0,4,0.0,19,0.0,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,Promising
387,38,Basic,Married,7500.0,0,2012-11-13,59,2.0,6,1.0,61,1.0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,Hibernating
2125,55,Bachelor,Divorced,63033.0,0,2013-11-15,82,1.0,16,3.0,1102,4.0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,At Risk
8180,62,Master,Divorced,59354.0,2,2013-11-15,53,2.0,15,2.0,310,2.0,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,Hibernating
2569,27,Bachelor,Married,17323.0,0,2012-10-10,38,3.0,5,0.0,46,1.0,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,Promising
9736,34,Bachelor,Married,41850.0,2,2012-12-24,51,2.0,9,2.0,96,2.0,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,Hibernating
4939,68,Bachelor,Together,37760.0,0,2012-08-31,20,4.0,13,2.0,317,2.0,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,Promising
6565,65,Master,Married,76995.0,1,2013-03-28,91,0.0,26,5.0,1782,5.0,1012,80,498,0,16,176,2,11,4,9,5,0,1,0,0,0,0,0,Can't Lose
2278,29,Master,Single,33812.0,1,2012-11-03,86,1.0,8,1.0,133,2.0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,Hibernating
9360,32,Bachelor,Married,37040.0,0,2012-08-08,41,3.0,12,2.0,316,2.0,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,Promising
5376,35,Bachelor,Married,2447.0,1,2013-01-06,42,3.0,43,5.0,1730,5.0,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,Loyal
1993,65,Doctoral,Married,58607.0,1,2012-12-23,63,2.0,17,3.0,972,4.0,867,0,86,0,0,19,3,2,3,9,8,0,0,0,0,1,0,0,At Risk
4047,60,Doctoral,Married,65324.0,1,2014-01-11,0,5.0,20,4.0,544,3.0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,Need Attention
1409,63,Bachelor,Together,40689.0,1,2013-03-18,69,2.0,20,4.0,444,3.0,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,At Risk
7892,45,Bachelor,Single,18589.0,0,2013-01-02,89,1.0,8,1.0,75,1.0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,Hibernating
